ROP(1 m),Depth(m),weight on bit (kg),Rotary Speed (rpm),Pump Press (KPa),Temp In(degC),Flow In(liters/min),Flow Out %
54.29,134.41,4308.39,88.18,2548.05,42.26,3373.67,58.46
38.57,134.72,3972.79,83.57,2532.26,42.28,3353.53,58.02
53.86,135.04,6163.27,86.23,2553.29,42.32,3360.5,57.67
48.66,135.35,3043.08,86.02,2532.26,42.37,3341.12,57.73
36.01,135.68,3238.1,73.2,2724.15,42.34,3386.77,59.84
48.54,135.99,2004.54,76.25,2724.15,42.37,3392.18,60.22
32.17,136.31,1106.58,77.96,2732.07,42.38,3382.11,61.95
46.34,136.63,2997.73,74.88,2708.42,42.38,3375.15,61.74
50.74,136.94,1088.44,65.21,2737.32,42.41,3385.97,61.19
30.74,137.25,1963.72,71.65,2742.56,42.43,3390.63,60.66
49.45,137.57,1882.09,67.22,2732.07,42.45,3379.8,56.27
58.98,137.88,3120.18,69.23,2726.83,42.47,3383.66,57.03
57.18,138.21,4353.74,65.76,2732.07,42.47,3382.15,57.41
28.44,138.53,2757.37,69.94,2732.07,42.51,3372.04,58.23
42.94,138.84,2498.87,69.72,2708.42,42.51,3363.53,56.27
45.37,139.17,5528.34,68.14,2755.72,42.53,3391.42,58.02
42.91,139.49,2798.19,66.89,2742.56,42.56,3387.56,56.62
82.76,139.81,7401.36,65.09,2737.32,42.58,3389.08,56.88
39.93,140.13,4213.15,67.59,2742.56,42.58,3382.11,60.31
63.2,140.47,3736.96,70.42,2724.15,42.58,3374.39,59.84
69.78,140.78,7977.32,65.63,2732.07,42.6,3387.53,59.05
57.93,141.1,5247.17,64.32,2718.91,42.62,3371.29,58.29
42.13,141.41,4612.24,68.62,2705.8,42.62,3369.7,58.52
29.16,141.73,2122.45,69.36,2721.53,42.64,3372.8,58.49
15.37,142.05,5129.25,79.73,2729.45,42.68,3376.7,61.36
19.95,142.36,6027.21,78.33,2745.18,42.71,3386.01,59.52
16.18,142.67,5904.76,84.34,2718.91,42.77,3368.98,60.07
14.04,142.99,4770.98,84.15,2739.94,42.83,3373.63,56.0
38.5,143.3,5170.07,81.35,2737.32,42.87,3369.77,57.23
21.45,143.62,7519.27,81.56,2742.56,42.92,3375.94,55.94
17.17,143.93,4730.16,87.11,2721.53,42.96,3368.98,55.24
12.26,144.24,2081.63,135.9,2750.48,43.15,3322.19,59.46
18.6,144.55,4712.02,82.99,2729.45,43.17,3324.54,59.14
21.86,144.87,4789.12,103.56,2766.21,43.17,3341.57,59.11
18.3,145.18,5845.8,91.17,2760.96,43.19,3342.33,59.11
18.0,145.49,965.99,109.9,2753.1,43.23,3327.6,58.84
29.93,145.8,4036.28,91.9,2795.16,43.23,3340.78,60.31
25.35,146.11,3038.55,54.19,2876.66,43.26,3352.55,62.65
16.71,146.42,5287.98,78.78,2895.07,43.32,3393.66,63.41
20.68,146.74,5968.25,85.56,2881.9,43.34,3399.83,60.95
24.27,147.05,7102.04,81.44,2884.52,43.36,3402.18,63.65
18.3,147.36,5569.16,81.99,2905.55,43.38,3405.28,62.06
18.6,147.67,7759.64,75.46,2884.52,43.4,3395.97,62.53
15.29,147.98,6784.58,76.44,2879.28,43.42,3399.83,63.65
17.72,148.29,4612.24,77.14,2895.07,43.44,3398.28,64.17
12.13,148.6,5727.89,76.47,2876.66,43.51,3371.17,61.95
14.56,148.91,7002.27,83.94,2876.66,43.51,3393.66,62.04
13.95,149.22,6920.63,80.62,2892.38,43.55,3395.97,62.09
19.93,149.53,6263.04,77.9,2847.7,43.57,3387.45,62.62
16.79,149.84,6920.63,85.98,2845.08,43.62,3374.24,59.31
37.92,150.16,4888.89,85.89,2855.63,43.63,3358.72,58.93
41.35,150.47,1646.26,88.21,2831.98,43.66,3347.1,58.38
57.93,150.79,4512.47,87.6,2826.67,43.66,3375.0,59.14
73.73,151.1,4630.39,93.58,2831.98,43.66,3354.06,58.17
74.44,151.41,2598.64,89.52,2837.22,43.66,3373.44,58.84
80.05,151.74,4371.88,95.11,2808.26,43.68,3351.75,59.69
70.64,152.08,3020.41,93.37,2831.98,43.7,3140.11,59.63
70.64,152.38,3020.41,93.37,2831.98,43.7,3140.11,59.63
72.41,152.4,3655.33,94.04,2850.32,43.7,3345.55,60.04
65.54,152.71,4553.29,101.3,2858.25,43.7,3043.24,58.14
66.92,153.02,5052.15,100.08,2845.08,43.7,3336.27,58.43
46.52,153.33,5170.07,89.1,2855.63,43.72,3202.91,58.76
28.44,153.65,6625.85,76.74,2800.4,43.66,3224.83,57.97
18.6,153.97,6984.13,72.71,2766.21,43.66,3221.72,58.46
23.26,154.28,8752.83,65.76,2774.13,43.66,3219.38,57.73
11.82,154.59,7319.73,90.77,2787.23,43.68,3224.03,58.46
27.76,154.9,5387.76,84.0,2792.54,43.68,3227.14,58.26
24.81,155.21,7641.72,85.19,2789.92,43.7,3221.72,59.55
19.63,155.53,4829.93,84.25,2763.58,43.72,3203.9,60.72
25.37,155.84,4353.74,82.38,2760.96,43.74,3202.31,59.37
21.06,156.15,4512.47,60.48,2800.4,43.76,3231.76,60.19
